Id,Tweet Time,Url,Tweet Text,Likes Count,Reply Count,Retweet Count,Retweeted Tweet,User Id,User Name,User Location,User Follower Count,User Following Count,User Likes Count,User Tweets Count
1513618363754631171,2022-04-11 20:41:54+00:00,https://twitter.com/CatatanAli07/status/1513618363754631171,"BACOT 

DIMANA MUNCUNG LO SAAT ADA 6 MANUSIA DIBANTAI DI KM 50 OLEH APARAT KEPOLISIAN ??

JIKA BICARA KEMANUSIAAN HARUS FAIR KARNA SEMUA MANUSIA...

ADE ARMANDO MATI ? KAGAK CACAT ? KAGAK 

TAPI 6 ORANG DI KM 50 MATI MENGENASKAN DIBANTAI APARAT KEPOLISIAN 

DAN LO DIAM... https://t.co/noW5Y2Cods",529,16,124,,1492190828499902466,CatatanAli07,,2697,1559,226,4473
1513616911338455040,2022-04-11 20:36:07+00:00,https://twitter.com/CatatanAli07/status/1513616911338455040,"Hahahahahaha

#DimanaCelanaAdeArmando https://t.co/uAA9cTw4fU https://t.co/VSIb0ypt30",14,1,4,,1492190828499902466,CatatanAli07,,2697,1559,226,4473
1513571243605168130,2022-04-11 17:34:39+00:00,https://twitter.com/CatatanAli07/status/1513571243605168130,"Jika PELAKU Pembantaian Anggota FPI DI KM 50 dibebaskan  seharusnya PELAKU Penganiayaan terhadap ADE ARMANDO juga dibebaskan dan tidak perlu sampai masuk penjara

BETUL GAK SIH ??

BTW #DimanaCelanaAdeArmando ? Ada yang tau ??",101,9,17,,1492190828499902466,CatatanAli07,,2697,1559,226,4473
1513487242500661250,2022-04-11 12:00:52+00:00,https://twitter.com/CatatanAli07/status/1513487242500661250,"GAK USAH BAHAS KEMANUSIAAN
LU KASUS PEMBANTAIAN KM 50 DIAM SOK SOKAN BAHAS KEMANUSIAAN

MIKIR!!!!! BISA MIKIR KAN OTAK NYA ? https://t.co/roZYfPLC2h",91,15,29,,1492190828499902466,CatatanAli07,,2697,1559,226,4473
1513479880931160064,2022-04-11 11:31:37+00:00,https://twitter.com/CatatanAli07/status/1513479880931160064,"Muda doang NYALI kalah sama ADE ARMANDO 

Payah lo Peler... https://t.co/j0MfZsc1lj",84,14,17,,1492190828499902466,CatatanAli07,,2697,1559,226,4473
1513473717330145282,2022-04-11 11:07:07+00:00,https://twitter.com/CatatanAli07/status/1513473717330145282,Lu sama gua aja yok den sampe MAMPUS dan jangan lupa buat surat perjanjian diatas materai MAMPUS keluarga dilarang nuntut itu aja kalau lu lakik sih.... https://t.co/wtBxXJ1fKV,113,16,25,,1492190828499902466,CatatanAli07,,2697,1559,226,4473
1513408594666225670,2022-04-11 06:48:21+00:00,https://twitter.com/CatatanAli07/status/1513408594666225670,"Anggaran PEMILU besar sekali tapi hanya dapat PEMIMPIN seperti anda pak yang membuat keadaan Indonesia seperti saat ini ??

Carut marut
Persatuan pecah
Ekonomi lemah
Rakyat susah
Hutang melimpah
Harga diri bangsa rendah
Buzzer dibayar negarah

PARAH

#RakyatBergerak https://t.co/XmkX1SySWZ",81,1,34,,1492190828499902466,CatatanAli07,,2697,1559,226,4473
1513405950656655366,2022-04-11 06:37:51+00:00,https://twitter.com/CatatanAli07/status/1513405950656655366,https://t.co/r7z98LpqPS https://t.co/Xvcr2YzKdx,3,0,0,,1492190828499902466,CatatanAli07,,2697,1559,226,4473
1513389082495557632,2022-04-11 05:30:49+00:00,https://twitter.com/CatatanAli07/status/1513389082495557632,"Yang kemarin juga dihajar cebong karna provokasi gua yakin gak Pada Turun dirumah dekem maenan hape sambil Memprovokasi

Dan mereka juga sebenerny gak layak turun KARNA MASIH  PUJA PUJI TOKOH TANPA BERANI MENGKRITISI

LAWAN!!! https://t.co/4Dh8qPNWzQ",11,2,2,,1492190828499902466,CatatanAli07,,2697,1559,226,4473
1513383892002418692,2022-04-11 05:10:11+00:00,https://twitter.com/CatatanAli07/status/1513383892002418692,"Why are indonesia people protesting in the streets?

Because The government also racked up huge amounts of debt to fund what critics have called unnecessary infrastructure projects

@BILD 
@POTUS 
@cnnbrk 
@Reuters 
@malaysiakini 
@BarackObama 

#RakyatMelawan https://t.co/o3utC6FFcp",63,4,23,,1492190828499902466,CatatanAli07,,2697,1559,226,4473
1513374464251428864,2022-04-11 04:32:44+00:00,https://twitter.com/CatatanAli07/status/1513374464251428864,"TODAY, 

Thousands of people take part in a demonstration in Jakarta for justice and demand the president resign

@BBCWorld
@Reuters
@cnnbrk
@tv3malaysia
@KKMPutrajaya
@POTUS

#lengserkanjokowi https://t.co/XO0jlzq0uf",81,5,50,,1492190828499902466,CatatanAli07,,2697,1559,226,4473
1513347009868369923,2022-04-11 02:43:38+00:00,https://twitter.com/CatatanAli07/status/1513347009868369923,"Semakin terlihat nyata yang saya sampaikan soal PERPECAHAN DIKUBU PDIP 😂

PDIP VERSI MEGA PUAN HASTO
VS
PDIP VERSI GANJAR JOKOWI LUHUT

PDIP versi MEGA undang CAKNUN untuk menggoyang Posisi JOKOWI 😂 https://t.co/A476orVSp2",0,0,1,,1492190828499902466,CatatanAli07,,2697,1559,226,4473
1513344698873970690,2022-04-11 02:34:27+00:00,https://twitter.com/CatatanAli07/status/1513344698873970690,HANYA MANUSIA BODOH YANG MASIH BERANGGAPAN KONDISI INDONESIA BAIK BAIK SAJA!! https://t.co/CjNQzrtpxn,5,0,1,,1492190828499902466,CatatanAli07,,2697,1559,226,4473
1513338119067947011,2022-04-11 02:08:18+00:00,https://twitter.com/CatatanAli07/status/1513338119067947011,"Justru Demo itu adalah bagian dari implementasi  DEMOKRASI 

Kok bisa bisa nya Yang dorong demo disebut tidak dewasa Hadeh sekolah lagi sanah 🤣😂

Sekelas PROFESOR bikin statemen kek bocah PAUD 😂

#MahasiswaBergerak 
#MahasiswaBergerak https://t.co/SAnOKhRhtq",126,8,30,,1492190828499902466,CatatanAli07,,2697,1559,226,4473
1513337308816506883,2022-04-11 02:05:05+00:00,https://twitter.com/CatatanAli07/status/1513337308816506883,"Tujuan kalian apa sih SHARE VIDEO LAMA ? 

Jangan norak lah kalau gara gara video lama kalian ada yang kegocek terus masuk BUI apa kalian mau tanggung jawab ??

KALAU BELUM ADA BAHAN CUITAN MENDING DIAM!!!!

#AksiNasional114",19,1,6,,1492190828499902466,CatatanAli07,,2697,1559,226,4473
1513335185731108865,2022-04-11 01:56:39+00:00,https://twitter.com/CatatanAli07/status/1513335185731108865,"Ya Allah Lindungilah mereka jaga mereka bantu mereka untuk merubuhkan Kedzaliman yang ada diindonesia saat ini

Selamat berjuang adek adek ku mahasiswa dan para rekan dab sahabat Ali yang turun hari ini Semoga kalian selalu dalam lindungan ALLAH Swt

😭😭😭😭

#AksiNasional114",1066,30,208,,1492190828499902466,CatatanAli07,,2697,1559,226,4473
1513184274668609537,2022-04-10 15:56:59+00:00,https://twitter.com/CatatanAli07/status/1513184274668609537,"Pakai POCARI SWEET untuk penghilang rasa pedih gas air mata...

Caranya dibuat raup atau cuci muka...

#MahasiswaBergerak",2227,32,672,,1492190828499902466,CatatanAli07,,2697,1559,226,4473
1513176978610081798,2022-04-10 15:27:59+00:00,https://twitter.com/CatatanAli07/status/1513176978610081798,"TAGAR

#MahasiswaBergerak 
#MahasiswaBergerak 

Geber lagi yok buat kasih semangat ke adek adek mahasiswa besok....",374,45,148,,1492190828499902466,CatatanAli07,,2697,1559,226,4473
1511820891763937281,2022-04-06 21:39:23+00:00,https://twitter.com/CatatanAli07/status/1511820891763937281,"Bismillah

#11AprilJokowiTumbang 🙏

Yang ingin #11AprilJokowiTumbang

RT KERAS!!!!!!",1,1,3,,1492190828499902466,CatatanAli07,,2697,1559,226,4473
1510510494121345025,2022-04-03 06:52:20+00:00,https://twitter.com/CatatanAli07/status/1510510494121345025,"AMERIKA Tidak Ada PKI
Jadi Mereka bebas beribadah dimana pun mereka mau...

Beda dengan INDONESIA baru ada yang NGAJI BERJAMAAH dijalan udah panas udah kelojotan ANJING ANJING PKI Mulai bermunculan 🙈 https://t.co/AEfC0fZHNn",3,0,0,,1492190828499902466,CatatanAli07,,2697,1559,226,4473
1507923216496730113,2022-03-27 03:31:25+00:00,https://twitter.com/CatatanAli07/status/1507923216496730113,"Ramadhan Itu Setahun sekali , Belum tentu Ramadhan Edisi selanjutnya kita masih bisa merasakan nya

Jadi saat Tiba Kita Wajib #RamadhanPenuhiMasjid jangan mau diatur atur sama PENGIKUT MADZAB WHO 

SETUJU RT SERTAKAN TAGAR #RamadhanPenuhiMasjid",1128,42,449,,1492190828499902466,CatatanAli07,,2697,1559,226,4473
1503376536606748679,2022-03-14 14:24:32+00:00,https://twitter.com/CatatanAli07/status/1503376536606748679,"Wapres Ulama 
Menag Anak Kyai

Tapi pada bungkam lihat #RitualSesatIKN naudzubillah Summa Naudzubillah mindzalik

#RitualSesatIKN bisa jadi sumber bencana karna ALLAH SWT tidak mengampuni Dosa Sirik dan Musrik https://t.co/xghwDC2Atl",25,6,14,,1492190828499902466,CatatanAli07,,2697,1559,226,4473
1500056511066025985,2022-03-05 10:31:56+00:00,https://twitter.com/CatatanAli07/status/1500056511066025985,Tanggung Amat Ah genepin jadi 1000 bisa ndak neh 😂🙏 https://t.co/qFAYcOqWyL,2,3,2,,1492190828499902466,CatatanAli07,,2697,1559,226,4473
1498116940124295169,2022-02-28 02:04:46+00:00,https://twitter.com/CatatanAli07/status/1498116940124295169,Yuk diorder Polo nya 👍 https://t.co/g0Pmf2aUYk,0,0,0,,1492190828499902466,CatatanAli07,,2697,1559,226,4473
1494339276435509248,2022-02-17 15:53:41+00:00,https://twitter.com/CatatanAli07/status/1494339276435509248,"Kisi kisi dari koko kalau COVID AKAN RELEASE VARIAN BARU

Jika kalian terus Membaca HALUSINASI koko ini saya berani jamin hidup kalian akan penuh ketakutan 

BAHAHAHAHAHAHAHA https://t.co/50EApGh8aO",2,0,3,,1492190828499902466,CatatanAli07,,2697,1559,226,4473
1493959749729423364,2022-02-16 14:45:35+00:00,https://twitter.com/CatatanAli07/status/1493959749729423364,Assalamualaikum,1,0,0,,1492190828499902466,CatatanAli07,,2697,1559,226,4473
1492673532463304705,2022-02-13 01:34:37+00:00,https://twitter.com/CatatanAli07/status/1492673532463304705,Mantap neh buat temen ngupi Yok diorder 👍 https://t.co/K11mJ6WvjG,4,1,3,,1492190828499902466,CatatanAli07,,2697,1559,226,4473
1492466412656676866,2022-02-12 11:51:36+00:00,https://twitter.com/CatatanAli07/status/1492466412656676866,Keep calm yah masih dibatasi buat polbek🙏,0,0,1,,1492190828499902466,CatatanAli07,,2697,1559,226,4473
1492418892924583936,2022-02-12 08:42:46+00:00,https://twitter.com/CatatanAli07/status/1492418892924583936,Gak bosen KO hidup lu kerjaan nya NAKUT NAKUTIN Mulu ?? https://t.co/kuo2U1Ht9j,3,1,1,,1492190828499902466,CatatanAli07,,2697,1559,226,4473
1492352188148219908,2022-02-12 04:17:42+00:00,https://twitter.com/CatatanAli07/status/1492352188148219908,"JILAT TERUS 

ISENG ISENG BERHADIAH YA DIE 😂🤣 https://t.co/2mjF2tlivh",1,0,1,,1492190828499902466,CatatanAli07,,2697,1559,226,4473
1492310337122889729,2022-02-12 01:31:24+00:00,https://twitter.com/CatatanAli07/status/1492310337122889729,#FotoProfilBaru https://t.co/2nj1RH1qRV,0,0,0,,1492190828499902466,CatatanAli07,,2697,1559,226,4473
