,Tweet Text
72,@Madebylaluna Perubahan yang hancur2an 🤣
73,@Maizura_H Arahnya sudah terlihat ingin bermain dijalur hitam
74,@Maizura_H Sudah mengatur peran disaat kanjuruhan sedang berduka https://t.co/vQaRYxKaGx
75,📌...🔥 https://t.co/3SVHGESTRk https://t.co/UqK4QWXx1c
76,@Maizura_H Senyum penuh kebusukan
77,"Berambisi jadi presiden dengan mengetok pintu sana sini , dari situ sudah terlihat arah konsepnya namun mental rakyat yang cerdas dan waras sudah paham dengan konsep tersebut jadi tidak akan mengubah sikap untuk sebuah pilihan...☕️"
78,Haha 🤣 https://t.co/toRMPwf6kR
79,Arah politiknya nasdem hanya buat pihak lawan politiknya panas padahal itu semua konsep badut https://t.co/c6zcOHDm62
80,Masih dalam suasana duka tapi presiden arema fc malah mikir yang blunder https://t.co/PMC5ca3eX1
81,Badut politik sedang memainkan peran tapi tidak akan mengubah apapun https://t.co/NRoTmltuZ8
82,Sejarah si licik 👇🏻 https://t.co/XUnyIVhRpz
83,Nanti juga dibuang 🤣 https://t.co/NpiBRfvr9V
84,@NayDonuts 📌...#PrayForKanjuruhan https://t.co/vhBMJvB97o
85,Wkwkwk 🤣 https://t.co/NnWRfh2kwO
86,@_memoryusang 🙄🤔??
87,@arifin34533 Mungkin juga prabowo 🫢
88,@Winardi_641 Biasalah nyari panggung buat csnya 🤣
89,@SimanjuntakElly Pura2 ngga paham si buntel 🤣
90,"@hannajoe20 Moralnya disubsidi kebencian dan ibarat listrik dipararel , tetap semangat non ✊🏼"
91,"No matter how good or bad you think life is, wake up each day and be thankful for life. Someone somewhere else is fighting to survive...☕️"
92,"Pertanyaan saya : kenapa nona silaw selalu berasumsi seolah2 selain era demokrat berkuasa di negri ini, tidak ada yang terlihat baik atau ada aja kurangnya  dan apa itu semacam program kalian 🤔? https://t.co/hfhPhuzeex"
93,"@_memoryusang @AdeMemed3 Itulah yang harus dipelajari , ada apa dengan mereka 😂"
94,"Entah peristiwa apapun yang terjadi diatas bumi selalu bilang ini ulah rezim jokowi, sebenarnya mereka itu makan sampah atau memang asal usulnya dari olahan sampah 🤣"
95,@Madebylaluna Mungkin belum ada gandengan saat ini dan itu hal biasa karena dari kesendirian itu banyak dapat wawasan untuk memastikan siapa seseorang yang akan menjaga sike selamanya
96,@Madebylaluna Smart 👍🏻
97,@Madebylaluna Wah gejala ini sudah ngga ada solusi 🤔🤣🫢
98,Ketika ada pihak yang sudah mengarah dugaan korupsi lalu tiba-tiba banyak pembela entah punya kepentingan atau hanya sekedar pamer program tapi ada juga yang buru-buru ingin di deklarasikan...
99,@KaredokLeunca__ @ListyoSigitP @PSSI Ngopi mak 🙄 https://t.co/CLu9D06E7K
100,"Menjadi dewasa tidak rumit namun berpikir dewasa sering menjadi kendala , dewasa itu bukan sekedar kostum...☕️"
101,@Madebylaluna Amen 🙏🏻
102,"Ketika kita datang untuk menikmati sebuah momen , berdiri dimanakah kita: ikut memberi kenyamanan atau ikut merusak kenyamanan ?"
103,"@PerahuBambu @LFC Bukan hanya liverpool saja , masih banyak klub sepak bola luar negeri yang memberikan ucapan dukacita ..."
104,Solidaritas dukacita atas insiden kanjuruhan tanpa sekat...😍 https://t.co/cog8RhpaDp
105,Thank you Liverpool 🙏🏻 https://t.co/k3F1h1JGfq
106,Kader keder yang berpikiran dangkal 👇🏻 https://t.co/3BWNnSSfqE
107,Thank you AC Milan 🙏🏻 https://t.co/7l0XlJADbJ
108,Si mokondo 👇🏻 https://t.co/wlK77LlPvv
109,Lebay lo ahh 😤 https://t.co/qxMT1uhJcY
110,Thank you Chelsea FC 💙 https://t.co/ZOadfHAe6i
111,"Semua yang dilakukan meninggalkan jejak. Semua yang dikatakan meninggalkan pikiran. Segala sesuatu yang disembunyikan meninggalkan fantasi. Setiap tindakan memiliki lingkarannya sendiri, tanpa pernah memikirkan apa yang menjadi pemicu dalam ruang yang berbeda...☕️"
112,"Tidak ada ramuan di dunia ini yang bisa membuat manusia menjadi budak yang setia, sifatnya ada atau tidak ada, dan jika ada, pasti harus diusahakan, jika tidak ada maka tidak bisa walaupun bekerja dan berkomitmen..."
113,"""...If people remembered more often that we are just passers-by on this earth and this life is not eternal, maybe they would be more humble and less evil... ""

~Alda Merini~"
114,"Jika hidup itu baik, masih lebih baik untuk bermimpi, dan yang terbaik, bangun.  -Antonio Machado-"
115,Titip setumbuk dua tumbuk buat iblis seperti itu 😤 https://t.co/Deci01CVL7
116,@ikbharis2021 Betul 👍🏻
117,@mpok_GeeNon9 @PKSejahtera Mereka takut kehilangan kursi walau dapet jatah sedikit 🤣
118,"Jangan gas air matanya yang dimasalahkan tapi ego yang membatu, sisihkan waktu untuk introspeksi dalam insiden kanjuruhan dan panjatkan doa untuk korban yang meninggal serta doakan keluarga korban juga...."
119,Sutan kadrun ngerti bola juga kirain cuma maen lompat karet 🤣🫢 https://t.co/iVXEgqUl2x
120,@BoyMart78237185 Mungkin sudah kelamaan di DPR jadi karatan 🤣
121,@wulandari_erian Kalo ngikutin si zon ngga bakal maju 🤣
122,Mohon kirim BLT buat piyu... https://t.co/3oPQVXORhb https://t.co/emrVsqDIF7
123,@wulandari_erian Benalu 🤣
124,📌...Mari kita mengheningkan cipta untuk insiden di stadion kanjuruhan bukan berisik dalam situasi duka cita https://t.co/qSihZmfyIP https://t.co/Fjo1PktFqc
125,Terima kasih 🙏🏻 https://t.co/L9gafBjYEh
126,"@Rosses1Black Setuju, Biar supporter seluruh indonesia introspeksi dengan akal sehat"
127,Dibekukan kurang lebih 8 tahun 🙄🫢 https://t.co/rAgqNmS7o3
128,Emang situ ada dilokasi ketika insiden ? Sekarang kenapa sampai ada gas air mata dalam stadion kanjuruhan ? 🤔 https://t.co/YztlrtEXaD
129,Hahaha 🤣 https://t.co/hB7wSMgsIO
130,"Perppu 🤣, ketika demokrat bikin PT 20% fadli zon pun tak mengeluarkan sepatah kata ...Aneh 🤦🏼‍♂️ https://t.co/cXE0nPwa9k"
131,"Harusnya IPW tidak seperti ini, tapi bantu mengevaluasi dan percuma kalau copot ini itu karena tidak mengubah apapun ... support saja investigasi dari pihak polri dalam insiden ini https://t.co/bGRcEHa8MW"
