,Id,Tweet Time,Url,Tweet Text,Likes Count,Reply Count,Retweet Count,Retweeted Tweet,User Id,User Name,User Location,Follower Count,Following Count
8371,1497530171494055937,2022-02-26 11:13:10+00:00,https://twitter.com/__Bungs/status/1497530171494055937,"@mbak_londoaiue Viewnya indah 💙, hepi wikend mba londo 😇",1,1,0,,1314883599280205826,mbak_londoaiue,lorong sanubari,12106.0,945.0
8372,1497529878706462723,2022-02-26 11:12:00+00:00,https://twitter.com/__Bungs/status/1497529878706462723,Setelah di kick balik langsung beralasan ini itu 🤣 pakar ngeles 😂 https://t.co/1G0VJwKRqa,0,0,0,,,,,,
8373,1497527188341489665,2022-02-26 11:01:19+00:00,https://twitter.com/__Bungs/status/1497527188341489665,Choosing to not argue with enemy is self-care. Sometimes peace is better than being right....☕️,3,0,0,,,,,,
8374,1497523200292319232,2022-02-26 10:45:28+00:00,https://twitter.com/__Bungs/status/1497523200292319232,Lebay lo bal 😤 https://t.co/cMyefmxeui,0,1,0,,,,,,
8375,1497501128677683200,2022-02-26 09:17:45+00:00,https://twitter.com/__Bungs/status/1497501128677683200,Bukan drama gorengan ...☕️ https://t.co/c80BrlA450,12,1,0,,,,,,
8376,1497466612483383303,2022-02-26 07:00:36+00:00,https://twitter.com/__Bungs/status/1497466612483383303,"Kegagalan mungkin hanya sementara tetapi penyesalan akan bertahan sampai kita hidup. Jadi risiko tidak mengambil akan menjadi risiko sebagai gantinya. Milikilah keberanian untuk mengambil setiap kesempatan, jika menunggu terlalu lama, kita akan melewatkannya.. https://t.co/NvA0EIzN1v",5,0,1,,,,,,
8377,1497450669682225152,2022-02-26 05:57:15+00:00,https://twitter.com/__Bungs/status/1497450669682225152,😍🤗😇 https://t.co/eXg2I4TySH,14,0,2,,,,,,
8378,1497449491946893312,2022-02-26 05:52:34+00:00,https://twitter.com/__Bungs/status/1497449491946893312,@mahesa_rini2 Hanya buat konten ngga bermutu 😂,0,0,0,,,,,,
8379,1497448840814731264,2022-02-26 05:49:59+00:00,https://twitter.com/__Bungs/status/1497448840814731264,Kasih Agape: kasih yang rela mengorbankan dirinya bagi orang yang dikasihi. Kasih Philia: kasih persahabatan atau kasih persaudaraan. Kasih Storge: kasih yang timbul karena adanya ikatan keluarga. Kasih Eros: kasih yang bersumber pada daya tarik seksual kepada jenis kelamin lain,8,1,1,,,,,,
8380,1497448250126651394,2022-02-26 05:47:38+00:00,https://twitter.com/__Bungs/status/1497448250126651394,@mahesa_rini2 Kurang bumbu 😁,0,0,0,,,,,,
